Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
20.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,26,Cst,Fln,Heby,Hy,Isätra,Ist,2019-03-22 14:50:00.000,2019-03-22 14:54:00.000,2019-03-22 14:55:00.000,2019-03-22 14:51:00.000,2019-03-22 14:50:00.000,2019-03-22 14:51:00.000,0.0,0.0,4,4.0,0.0,1.0,1.0,0.0
20.0,2019-03-23,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-23 13:51:00.000,2019-03-23 13:52:00.000,2019-03-23 13:52:00.000,2019-03-23 13:50:00.000,2019-03-23 13:51:00.000,2019-03-23 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-30,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-30 13:51:00.000,2019-03-30 13:52:00.000,2019-03-30 13:52:00.000,2019-03-30 13:50:00.000,2019-03-30 13:51:00.000,2019-03-30 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-28,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-28 13:51:00.000,2019-03-28 13:52:00.000,2019-03-28 13:52:00.000,2019-03-28 13:50:00.000,2019-03-28 13:51:00.000,2019-03-28 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-07,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,20,Cst,Fln,Säby,Säy,Uppsala c,U,2019-03-07 14:20:00.000,2019-03-07 14:24:00.000,2019-03-07 14:25:00.000,2019-03-07 14:22:00.000,2019-03-07 14:20:00.000,2019-03-07 14:22:00.000,0.0,0.0,4,3.0,-1.0,2.0,1.0,0.0
20.0,2019-03-29,RST,FJÄRR,Passage,Passage,0,-,0,-,32,Cst,Fln,Avesta Centrum,Acm,Snickarbo,Snb,2019-03-29 15:24:00.000,2019-03-29 15:28:00.000,2019-03-29 15:29:00.000,,2019-03-29 15:24:00.000,2019-03-29 15:25:00.000,0.0,,4,,,,1.0,
20.0,2019-03-11,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,30,Cst,Fln,Rosshyttan,Ry,Avesta Krylbo,Avky,2019-03-11 15:12:00.000,2019-03-11 15:19:00.000,2019-03-11 15:20:00.000,2019-03-11 15:14:00.000,2019-03-11 15:12:00.000,2019-03-11 15:14:00.000,0.0,0.0,7,6.0,-1.0,2.0,1.0,0.0
20.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Cst,Fln,Broddbo,Bdo,Rosshyttan,Ry,2019-03-27 15:07:00.000,2019-03-27 15:12:00.000,2019-03-27 15:11:00.000,2019-03-27 15:06:00.000,2019-03-27 15:07:00.000,2019-03-27 15:06:00.000,0.0,0.0,5,5.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-23,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Cst,Fln,Broddbo,Bdo,Rosshyttan,Ry,2019-03-23 15:07:00.000,2019-03-23 15:12:00.000,2019-03-23 15:11:00.000,2019-03-23 15:06:00.000,2019-03-23 15:07:00.000,2019-03-23 15:06:00.000,0.0,0.0,5,5.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-01,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,30,Cst,Fln,Rosshyttan,Ry,Avesta Krylbo,Avky,2019-03-01 15:12:00.000,2019-03-01 15:19:00.000,2019-03-01 15:20:00.000,2019-03-01 15:13:00.000,2019-03-01 15:12:00.000,2019-03-01 15:13:00.000,0.0,0.0,7,7.0,0.0,1.0,1.0,0.0
20.0,2019-03-21,RST,FJÄRR,Passage,Passage,0,-,0,-,4,Cst,Fln,Solna,So,Ulriksdal,Udl,2019-03-21 13:50:00.000,2019-03-21 13:51:00.000,2019-03-21 13:52:00.000,2019-03-21 13:51:00.000,2019-03-21 13:50:00.000,2019-03-21 13:51:00.000,0.0,0.0,1,1.0,0.0,1.0,1.0,0.0
20.0,2019-03-15,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,31,Cst,Fln,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-15 15:21:00.000,2019-03-15 15:24:00.000,2019-03-15 15:26:00.000,2019-03-15 15:22:00.000,2019-03-15 15:19:00.000,2019-03-15 15:21:00.000,2.0,1.0,3,4.0,1.0,1.0,2.0,-1.0
20.0,2019-03-08,RST,FJÄRR,Uppehåll,Uppehåll,0,-,11,Av- och påstigande av resande,38,Cst,Fln,Stora Tuna,Sau,Borlänge c,Blg,2019-03-08 16:04:00.000,2019-03-08 16:10:00.000,2019-03-08 16:07:00.000,2019-03-08 16:01:00.000,2019-03-08 15:57:00.000,2019-03-08 15:56:00.000,7.0,5.0,6,6.0,0.0,-3.0,-3.0,-2.0
20.0,2019-03-15,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,30,Cst,Fln,Rosshyttan,Ry,Avesta Krylbo,Avky,2019-03-15 15:12:00.000,2019-03-15 15:19:00.000,2019-03-15 15:21:00.000,2019-03-15 15:15:00.000,2019-03-15 15:12:00.000,2019-03-15 15:15:00.000,0.0,0.0,7,6.0,-1.0,3.0,2.0,0.0
20.0,2019-03-07,RST,FJÄRR,Passage,Passage,0,-,0,-,7,Cst,Fln,Kummelby,Kmy,Sollentuna,Sol,2019-03-07 13:53:00.000,2019-03-07 13:53:00.000,2019-03-07 13:52:00.000,2019-03-07 13:52:00.000,2019-03-07 13:53:00.000,2019-03-07 13:52:00.000,0.0,0.0,0,0.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-06,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,39,Cst,Fln,Borlänge c,Blg,Ornäs,Orn,2019-03-06 16:13:00.000,2019-03-06 16:18:00.000,2019-03-06 16:18:00.000,2019-03-06 16:13:00.000,2019-03-06 16:10:00.000,2019-03-06 16:10:00.000,3.0,3.0,5,5.0,0.0,0.0,0.0,0.0
20.0,2019-03-05,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,34,Cst,Fln,Hedemora,Hdm,Vikmanshyttan,Vhy,2019-03-05 15:36:00.000,2019-03-05 15:41:00.000,2019-03-05 15:39:00.000,2019-03-05 15:36:00.000,2019-03-05 15:35:00.000,2019-03-05 15:33:00.000,1.0,3.0,5,3.0,-2.0,0.0,-2.0,2.0
20.0,2019-03-08,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-08 13:51:00.000,2019-03-08 13:52:00.000,2019-03-08 13:51:00.000,2019-03-08 13:50:00.000,2019-03-08 13:51:00.000,2019-03-08 13:50:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
